caseID,uri,uriID,newURI,lang
1,def://app/src/main/res/layout/header_film_detail.xml[language=FILE],0,def://app/src/main/res/layout/header_film_title.xml[language=FILE],XML
2,use://app/src/main/java/com/example/jingbin/cloudreader/ui/wan/child/HomeFragment.java[language=FILE]//HomeFragment/CustomViewHolder/createView/view.findViewById/R.id.iv_banner[language=JAVA],0,use://app/src/main/java/com/example/jingbin/cloudreader/ui/wan/child/HomeFragment.java[language=FILE]//HomeFragment/CustomViewHolder/createView/view.findViewById/R.id.iv_banner_child[language=JAVA],JAVA
