def,use
def://demos/surface/src/main/res/layout/main_activity.xml//FrameLayout/SurfaceView/android:id//@+id\/full_screen_view,use://demos/surface/src/main/java/com/google/android/exoplayer2/surfacedemo/MainActivity.java//R.id.full_screen_view
def://demos/main/src/main/res/layout/track_selection_dialog.xml//LinearLayout/androidx.viewpager.widget.ViewPager/com.google.android.material.tabs.TabLayout/android:id//@+id\/track_selection_dialog_tab_layout,use://demos/main/src/main/java/com/google/android/exoplayer2/demo/TrackSelectionDialog.java//R.id.track_selection_dialog_tab_layout
def://demos/cast/src/main/res/layout/main_activity.xml//LinearLayout/com.google.android.exoplayer2.ui.PlayerView/android:id//@+id\/local_player_view,use://demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/MainActivity.java//R.id.local_player_view
def://demos/cast/src/main/res/layout/sample_list.xml,use://demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/MainActivity.java//R.layout.sample_list
def://demos/cast/src/main/res/layout/main_activity.xml,use://demos/gl/src/main/java/com/google/android/exoplayer2/gldemo/MainActivity.java//R.layout.main_activity
def://demos/cast/src/main/res/layout/sample_list.xml//LinearLayout/ListView/android:id//@+id\/sample_list,use://demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/MainActivity.java//R.id.sample_list
def://library/ui/src/main/res/layout/exo_track_selection_dialog.xml//ScrollView/com.google.android.exoplayer2.ui.TrackSelectionView/android:id//@+id\/exo_track_selection_view,use://demos/main/src/main/java/com/google/android/exoplayer2/demo/TrackSelectionDialog.java//R.id.exo_track_selection_view
def://demos/main/src/main/res/layout/track_selection_dialog.xml//LinearLayout/LinearLayout/Button/android:id//@+id\/track_selection_dialog_cancel_button,use://demos/main/src/main/java/com/google/android/exoplayer2/demo/TrackSelectionDialog.java//R.id.track_selection_dialog_cancel_button
def://demos/main/src/main/res/layout/player_activity.xml//FrameLayout/LinearLayout/LinearLayout/android:id//@+id\/controls_root,use://demos/main/src/main/java/com/google/android/exoplayer2/demo/PlayerActivity.java//R.id.controls_root
def://library/ui/src/main/res/layout/exo_styled_player_control_view.xml,use://library/ui/src/main/java/com/google/android/exoplayer2/ui/StyledPlayerControlView.java//R.layout.exo_styled_player_control_view
