XML,JAVA
def://NewPipe/app/src/main/res/layout/item_instance.xml//androidx.cardview.widget.CardView/RelativeLayout/TextView/android:id//@+id\/instanceUrl,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/PeertubeInstanceListFragment.java//R.id.instanceUrl
def://NewPipe/app/src/main/res/layout/item_instance.xml//androidx.cardview.widget.CardView/RelativeLayout/RadioButton/android:id//@+id\/selectInstanceRB,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/PeertubeInstanceListFragment.java//R.id.selectInstanceRB
def://NewPipe/app/src/main/res/layout/item_instance.xml//androidx.cardview.widget.CardView/RelativeLayout/androidx.appcompat.widget.AppCompatImageView/android:id//@+id\/handle,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/PeertubeInstanceListFragment.java//R.id.handle
def://NewPipe/app/src/main/res/layout/list_playlist_item.xml//RelativeLayout/android:id//@+id\/itemRoot,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot
def://NewPipe/app/src/main/res/layout/list_playlist_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/item_search_suggestion.xml//RelativeLayout/LinearLayout/android:id//@+id\/suggestion_search,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/search/SuggestionListAdapter.java//R.id.suggestion_search
def://NewPipe/app/src/main/res/layout/item_search_suggestion.xml//RelativeLayout/LinearLayout/ImageView/android:id//@+id\/item_suggestion_icon,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/search/SuggestionListAdapter.java//R.id.item_suggestion_icon
def://NewPipe/app/src/main/res/layout/item_search_suggestion.xml//RelativeLayout/LinearLayout/TextView/android:id//@+id\/item_suggestion_query,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/search/SuggestionListAdapter.java//R.id.item_suggestion_query
def://NewPipe/app/src/main/res/layout/item_search_suggestion.xml//RelativeLayout/LinearLayout/android:id//@+id\/suggestion_insert,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/search/SuggestionListAdapter.java//R.id.suggestion_insert
def://NewPipe/app/src/main/res/layout/download_dialog.xml//RelativeLayout/RadioGroup/RadioButton/android:id//@+id\/video_button,use://NewPipe/app/src/main/java/org/schabi/newpipe/download/DownloadDialog.java//R.id.video_button
def://NewPipe/app/src/main/res/layout/download_dialog.xml//RelativeLayout/RadioGroup/RadioButton/android:id//@+id\/audio_button,use://NewPipe/app/src/main/java/org/schabi/newpipe/download/DownloadDialog.java//R.id.audio_button
def://NewPipe/app/src/main/res/layout/download_dialog.xml//RelativeLayout/RadioGroup/RadioButton/android:id//@+id\/subtitle_button,use://NewPipe/app/src/main/java/org/schabi/newpipe/download/DownloadDialog.java//R.id.subtitle_button
def://NewPipe/app/src/main/res/layout/fragment_comments.xml//RelativeLayout/org.schabi.newpipe.views.NewPipeRecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/fragment_comments.xml//RelativeLayout/org.schabi.newpipe.views.NewPipeRecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/BaseListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/fragment_comments.xml//RelativeLayout/ProgressBar/android:id//@+id\/loading_progress_bar,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java//R.id.loading_progress_bar
def://NewPipe/app/src/main/res/layout/fragment_comments.xml//RelativeLayout/LinearLayout/android:id//@+id\/empty_state_view,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java//R.id.empty_state_view
def://NewPipe/app/src/main/res/layout/fragment_comments.xml//RelativeLayout/LinearLayout/TextView/android:id//@+id\/empty_state_desc,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/comments/CommentsFragment.java//R.id.empty_state_desc
def://NewPipe/app/src/main/res/layout/list_channel_item.xml//androidx.constraintlayout.widget.ConstraintLayout/android:id//@+id\/itemRoot,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot
def://NewPipe/app/src/main/res/layout/list_channel_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemChannelDescriptionView,use://NewPipe/app/src/main/java/org/schabi/newpipe/info_list/holder/ChannelInfoItemHolder.java//R.id.itemChannelDescriptionView
def://NewPipe/app/src/main/res/layout/list_channel_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemAdditionalDetails,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemAdditionalDetails
def://NewPipe/app/src/main/res/layout/list_channel_item.xml//androidx.constraintlayout.widget.ConstraintLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/activity_player_queue_control.xml//RelativeLayout/com.google.android.material.appbar.AppBarLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar,use://NewPipe/app/src/main/java/us/shandian/giga/ui/common/ToolbarActivity.java//R.id.toolbar
def://NewPipe/app/src/main/res/layout/activity_player_queue_control.xml//RelativeLayout/com.google.android.material.appbar.AppBarLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java//R.id.toolbar
def://NewPipe/app/src/main/res/layout/missions_header.xml//LinearLayout/TextView/android:id//@+id\/item_name,use://NewPipe/app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java//R.id.item_name
def://NewPipe/app/src/main/res/layout/fragment_feed.xml//RelativeLayout/androidx.swiperefreshlayout.widget.SwipeRefreshLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/fragment_feed.xml//RelativeLayout/androidx.swiperefreshlayout.widget.SwipeRefreshLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/BaseListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/fragment_feed.xml//RelativeLayout/LinearLayout/ProgressBar/android:id//@+id\/loading_progress_bar,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java//R.id.loading_progress_bar
def://NewPipe/app/src/main/res/layout/fragment_feed.xml//RelativeLayout/include/android:id//@+id\/empty_state_view,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java//R.id.empty_state_view
def://NewPipe/app/src/main/res/layout/select_playlist_fragment.xml//LinearLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/select_playlist_fragment.xml//LinearLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/BaseListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/select_playlist_fragment.xml//LinearLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/SelectPlaylistFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/select_playlist_fragment.xml//LinearLayout/TextView/android:id//@+id\/empty_state_view,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java//R.id.empty_state_view
def://NewPipe/app/src/main/res/layout/select_playlist_fragment.xml//LinearLayout/TextView/android:id//@+id\/empty_state_view,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/SelectPlaylistFragment.java//R.id.empty_state_view
def://NewPipe/app/src/main/res/layout/select_playlist_fragment.xml//LinearLayout/ProgressBar/android:id//@+id\/progressBar,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/SelectPlaylistFragment.java//R.id.progressBar
def://NewPipe/app/src/main/res/layout/mission_item.xml//RelativeLayout/RelativeLayout/android:id//@+id\/item_bkg,use://NewPipe/app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java//R.id.item_bkg
def://NewPipe/app/src/main/res/layout/mission_item.xml//RelativeLayout/RelativeLayout/RelativeLayout/TextView/android:id//@+id\/item_status,use://NewPipe/app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java//R.id.item_status
def://NewPipe/app/src/main/res/layout/mission_item.xml//RelativeLayout/RelativeLayout/RelativeLayout/ImageView/android:id//@+id\/item_more,use://NewPipe/app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java//R.id.item_more
def://NewPipe/app/src/main/res/layout/mission_item.xml//RelativeLayout/RelativeLayout/ImageView/android:id//@+id\/item_icon,use://NewPipe/app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java//R.id.item_icon
def://NewPipe/app/src/main/res/layout/mission_item.xml//RelativeLayout/RelativeLayout/TextView/android:id//@+id\/item_name,use://NewPipe/app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java//R.id.item_name
def://NewPipe/app/src/main/res/layout/mission_item.xml//RelativeLayout/RelativeLayout/TextView/android:id//@+id\/item_size,use://NewPipe/app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java//R.id.item_size
def://NewPipe/app/src/main/res/layout/list_channel_grid_item.xml//RelativeLayout/android:id//@+id\/itemRoot,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot
def://NewPipe/app/src/main/res/layout/list_channel_grid_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/list_channel_grid_item.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemAdditionalDetails
def://NewPipe/app/src/main/res/layout/fragment_playlist.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list
