def,use
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallGoods.java[language=FILE]//NewBeeMallGoods/goodsCoverImg[varType=String,language=JAVA]","use://src/main/resources/mapper/NewBeeMallGoodsMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.NewBeeMallGoods,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{goodsCoverImg\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/IndexConfig.java[language=FILE]//IndexConfig/configId[varType=Long,language=JAVA]","use://src/main/resources/mapper/IndexConfigMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.IndexConfig,language=XML,queryId=insert]//Insert/#{configId\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallGoods.java[language=FILE]//NewBeeMallGoods/goodsCarousel[varType=String,language=JAVA]","use://src/main/resources/mapper/NewBeeMallGoodsMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.NewBeeMallGoods,language=XML,queryId=insertSelective]//Insert/#{goodsCarousel\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallGoods.java[language=FILE]//NewBeeMallGoods/createTime[varType=Date,language=JAVA]","use://src/main/resources/mapper/NewBeeMallGoodsMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.NewBeeMallGoods,language=XML,queryId=insertSelective]//Insert/#{createTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/IndexConfig.java[language=FILE]//IndexConfig/configRank[varType=Integer,language=JAVA]","use://src/main/resources/mapper/IndexConfigMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.IndexConfig,language=XML,queryId=insert]//Insert/#{configRank\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallOrderItem.java[language=FILE]//NewBeeMallOrderItem/goodsName[varType=String,language=JAVA]","use://src/main/resources/mapper/NewBeeMallOrderItemMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.NewBeeMallOrderItem,language=XML,queryId=insert]//Insert/#{goodsName\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/IndexConfig.java[language=FILE]//IndexConfig/configRank[varType=Integer,language=JAVA]","use://src/main/resources/mapper/IndexConfigMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.IndexConfig,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{configRank\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/GoodsCategory.java[language=FILE]//GoodsCategory/createTime[varType=Date,language=JAVA]","use://src/main/resources/mapper/GoodsCategoryMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.GoodsCategory,language=XML,queryId=insertSelective]//Insert/#{createTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallGoods.java[language=FILE]//NewBeeMallGoods/tag[varType=String,language=JAVA]","use://src/main/resources/mapper/NewBeeMallGoodsMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.NewBeeMallGoods,language=XML,queryId=insertSelective]//Insert/#{tag\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/GoodsCategory.java[language=FILE]//GoodsCategory/categoryName[varType=String,language=JAVA]","use://src/main/resources/mapper/GoodsCategoryMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.GoodsCategory,language=XML,queryId=insert]//Insert/#{categoryName\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/MallUser.java[language=FILE]//MallUser/introduceSign[varType=String,language=JAVA]","use://src/main/resources/mapper/MallUserMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.MallUser,language=XML,queryId=insert]//Insert/#{introduceSign\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/GoodsCategory.java[language=FILE]//GoodsCategory/isDeleted[varType=Byte,language=JAVA]","use://src/main/resources/mapper/GoodsCategoryMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.GoodsCategory,language=XML,queryId=insert]//Insert/#{isDeleted\,jdbcType=TINYINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/AdminUser.java[language=FILE]//AdminUser/loginUserName[varType=String,language=JAVA]","use://src/main/resources/mapper/AdminUserMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.AdminUser,language=XML,queryId=insertSelective]//Insert/#{loginUserName\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallGoods.java[language=FILE]//NewBeeMallGoods/goodsId[varType=Long,language=JAVA]","use://src/main/resources/mapper/NewBeeMallGoodsMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.NewBeeMallGoods,language=XML,queryId=updateByPrimaryKeySelective]//Update/Where/=/#{goodsId\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallOrder.java[language=FILE]//NewBeeMallOrder/payType[varType=Byte,language=JAVA]","use://src/main/resources/mapper/NewBeeMallOrderMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.NewBeeMallOrder,keyProperty=orderId,language=XML,queryId=insertSelective,useGeneratedKeys=true]//Insert/#{payType\,jdbcType=TINYINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/Carousel.java[language=FILE]//Carousel/carouselRank[varType=Integer,language=JAVA]","use://src/main/resources/mapper/CarouselMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.Carousel,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{carouselRank\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/Carousel.java[language=FILE]//Carousel/carouselUrl[varType=String,language=JAVA]","use://src/main/resources/mapper/CarouselMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.Carousel,language=XML,queryId=updateByPrimaryKey]//Update/#{carouselUrl\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallShoppingCartItem.java[language=FILE]//NewBeeMallShoppingCartItem/cartItemId[varType=Long,language=JAVA]","use://src/main/resources/mapper/NewBeeMallShoppingCartItemMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.NewBeeMallShoppingCartItem,language=XML,queryId=updateByPrimaryKey]//Update/Where/=/#{cartItemId\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/Carousel.java[language=FILE]//Carousel/isDeleted[varType=Byte,language=JAVA]","use://src/main/resources/mapper/CarouselMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.Carousel,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{isDeleted\,jdbcType=TINYINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/GoodsCategory.java[language=FILE]//GoodsCategory/createUser[varType=Integer,language=JAVA]","use://src/main/resources/mapper/GoodsCategoryMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.GoodsCategory,language=XML,queryId=insertSelective]//Insert/#{createUser\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/Carousel.java[language=FILE]//Carousel/createTime[varType=Date,language=JAVA]","use://src/main/resources/mapper/CarouselMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.Carousel,language=XML,queryId=updateByPrimaryKey]//Update/#{createTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/MallUser.java[language=FILE]//MallUser/nickName[varType=String,language=JAVA]","use://src/main/resources/mapper/MallUserMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.MallUser,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{nickName\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/MallUser.java[language=FILE]//MallUser/address[varType=String,language=JAVA]","use://src/main/resources/mapper/MallUserMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.MallUser,language=XML,queryId=insert]//Insert/#{address\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallGoods.java[language=FILE]//NewBeeMallGoods/tag[varType=String,language=JAVA]","use://src/main/resources/mapper/NewBeeMallGoodsMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.NewBeeMallGoods,language=XML,queryId=updateByPrimaryKeyWithBLOBs]//Update/#{tag\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/IndexConfig.java[language=FILE]//IndexConfig/configRank[varType=Integer,language=JAVA]","use://src/main/resources/mapper/IndexConfigMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.IndexConfig,language=XML,queryId=updateByPrimaryKey]//Update/#{configRank\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallOrder.java[language=FILE]//NewBeeMallOrder/isDeleted[varType=Byte,language=JAVA]","use://src/main/resources/mapper/NewBeeMallOrderMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.NewBeeMallOrder,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{isDeleted\,jdbcType=TINYINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallOrder.java[language=FILE]//NewBeeMallOrder/payStatus[varType=Byte,language=JAVA]","use://src/main/resources/mapper/NewBeeMallOrderMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.NewBeeMallOrder,language=XML,queryId=updateByPrimaryKey]//Update/#{payStatus\,jdbcType=TINYINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallGoods.java[language=FILE]//NewBeeMallGoods/goodsId[varType=Long,language=JAVA]","use://src/main/resources/mapper/NewBeeMallGoodsMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.NewBeeMallGoods,language=XML,queryId=insertSelective]//Insert/#{goodsId\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/MallUser.java[language=FILE]//MallUser/nickName[varType=String,language=JAVA]","use://src/main/resources/mapper/MallUserMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.MallUser,language=XML,queryId=insert]//Insert/#{nickName\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallShoppingCartItem.java[language=FILE]//NewBeeMallShoppingCartItem/goodsCount[varType=Integer,language=JAVA]","use://src/main/resources/mapper/NewBeeMallShoppingCartItemMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.NewBeeMallShoppingCartItem,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{goodsCount\,jdbcType=INTEGER}[language=SQL]"
