def,use
"def://src/main/java/life/majiang/community/mapper/QuestionMapper.java[language=FILE]//QuestionMapper/deleteByPrimaryKey/id[varType=Long,language=JAVA]","use://src/main/resources/mapper/QuestionMapper.xml[language=FILE]//mapper/delete[parameterType=java.lang.Long,language=XML,queryId=deleteByPrimaryKey]//Delete/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/id[varType=Integer,language=JAVA]","use://target/classes/mapper/AdMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Ad,language=XML,queryId=updateByPrimaryKeySelective]//Update/Where/=/#{id\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/User.java[language=FILE]//User/gmtCreate[varType=Long,language=JAVA]","use://src/main/resources/mapper/UserMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.User,language=XML,queryId=insert]//Insert/#{gmtCreate\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/creator[varType=Long,language=JAVA]","use://target/classes/mapper/QuestionMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Question,language=XML,queryId=updateByPrimaryKey]//Update/#{creator\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/image[varType=String,language=JAVA]","use://src/main/resources/mapper/AdMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Ad,language=XML,queryId=insert]//Insert/#{image\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/User.java[language=FILE]//User/id[varType=Long,language=JAVA]","use://target/classes/mapper/UserMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.User,language=XML,queryId=insertSelective]//Insert/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/User.java[language=FILE]//User/accountId[varType=String,language=JAVA]","use://target/classes/mapper/UserMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.User,language=XML,queryId=insertSelective]//Insert/#{accountId\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/gmtStart[varType=Long,language=JAVA]","use://src/main/resources/mapper/AdMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Ad,language=XML,queryId=updateByPrimaryKey]//Update/#{gmtStart\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Nav.java[language=FILE]//Nav/priority[varType=Integer,language=JAVA]","use://target/classes/mapper/NavMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Nav,language=XML,queryId=insertSelective]//Insert/#{priority\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/status[varType=Integer,language=JAVA]","use://target/classes/mapper/AdMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Ad,language=XML,queryId=insert]//Insert/#{status\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Comment.java[language=FILE]//Comment/type[varType=Integer,language=JAVA]","use://src/main/resources/mapper/CommentMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Comment,language=XML,queryId=insert]//Insert/#{type\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Nav.java[language=FILE]//Nav/gmtCreate[varType=Long,language=JAVA]","use://target/classes/mapper/NavMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Nav,language=XML,queryId=insertSelective]//Insert/#{gmtCreate\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/User.java[language=FILE]//User/type[varType=String,language=JAVA]","use://target/classes/mapper/UserMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.User,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{type\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Comment.java[language=FILE]//Comment/type[varType=Integer,language=JAVA]","use://target/classes/mapper/CommentMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Comment,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{type\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/commentCount[varType=Integer,language=JAVA]","use://target/classes/mapper/QuestionMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Question,language=XML,queryId=insert]//Insert/#{commentCount\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/image[varType=String,language=JAVA]","use://target/classes/mapper/AdMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Ad,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{image\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/id[varType=Integer,language=JAVA]","use://target/classes/mapper/AdMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Ad,language=XML,queryId=insert]//Insert/#{id\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/pos[varType=String,language=JAVA]","use://src/main/resources/mapper/AdMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Ad,language=XML,queryId=updateByPrimaryKey]//Update/#{pos\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/mapper/UserMapper.java[language=FILE]//UserMapper/selectByPrimaryKey/id[varType=Long,language=JAVA]","use://src/main/resources/mapper/UserMapper.xml[language=FILE]//mapper/select[parameterType=java.lang.Long,resultMap=BaseResultMap,language=XML,queryId=selectByPrimaryKey]//Select/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/gmtEnd[varType=Long,language=JAVA]","use://src/main/resources/mapper/AdMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Ad,language=XML,queryId=insert]//Insert/#{gmtEnd\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/pos[varType=String,language=JAVA]","use://target/classes/mapper/AdMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Ad,language=XML,queryId=updateByPrimaryKey]//Update/#{pos\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Nav.java[language=FILE]//Nav/url[varType=String,language=JAVA]","use://src/main/resources/mapper/NavMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Nav,language=XML,queryId=insert]//Insert/#{url\,jdbcType=VARCHAR}[language=SQL]"
