def,use
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDictMapper.java[language=FILE]//SysDictMapper/queryTableDictWithFilter/code/@Param[language=JAVA]//code[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=String,language=XML,resultType=org.jeecg.common.system.vo.DictModel,queryId=queryTableDictWithFilter]//Select/${code}[language=SQL]"
"def://jeecg-boot/jeecg-boot-base/jeecg-boot-base-core/src/main/java/org/jeecg/common/system/vo/DictQuery.java[language=FILE]//DictQuery/code[varType=String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=Object,language=XML,resultType=org.jeecg.common.system.vo.DictModel,queryId=queryDictTablePageList]//Select/Where/=/${query.code}[language=SQL]"
def://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/dao/XxlJobUserDao.java[language=FILE]//XxlJobUserDao/pageListCount/username/@Param[language=JAVA]//username[language=ANY],"use://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/resources/mybatis-mapper/XxlJobUserMapper.xml[language=FILE]//mapper/select[parameterType=java.util.HashMap,language=XML,resultType=int,queryId=pageListCount]//Select/Where/LIKE/Function/Function/#{username}[language=SQL]"
"def://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/core/model/XxlJobInfo.java[language=FILE]//XxlJobInfo/triggerStatus[varType=int,language=JAVA]","use://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/resources/mybatis-mapper/XxlJobInfoMapper.xml[language=FILE]//mapper/update[parameterType=com.xxl.job.admin.core.model.XxlJobInfo,language=XML,queryId=scheduleUpdate]//Update/#{triggerStatus}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDictMapper.java[language=FILE]//SysDictMapper/queryAllTableDictItems/code/@Param[language=JAVA]//code[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=String,language=XML,resultType=org.jeecg.common.system.vo.DictModel,queryId=queryAllTableDictItems]//Select/${code}[language=SQL]"
"def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/model/TreeSelectModel.java[language=FILE]//TreeSelectModel/code[varType=String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysCategoryMapper.xml[language=FILE]//mapper/select[parameterType=Object,language=XML,resultType=org.jeecg.modules.system.model.TreeSelectModel,queryId=queryListByPid]//Select/code[language=SQL]"
"def://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/core/model/XxlJobLogReport.java[language=FILE]//XxlJobLogReport/triggerDay[varType=Date,language=JAVA]","use://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/resources/mybatis-mapper/XxlJobLogReportMapper.xml[language=FILE]//mapper/insert[parameterType=com.xxl.job.admin.core.model.XxlJobLogReport,keyProperty=id,language=XML,queryId=save,useGeneratedKeys=true]//Insert/#{triggerDay}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysUserMapper.java[language=FILE]//SysUserMapper/getUserByRoleId/roleId/@Param[language=JAVA]//roleId[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysUserMapper.xml[language=FILE]//mapper/select[language=XML,resultType=org.jeecg.modules.system.entity.SysUser,queryId=getUserByRoleId]//Select/Where/=/#{roleId}[language=SQL]"
"def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/vo/SysUserDepVo.java[language=FILE]//SysUserDepVo/departName[varType=String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysUserMapper.xml[language=FILE]//mapper/select[language=XML,resultType=org.jeecg.modules.system.vo.SysUserDepVo,queryId=getDepNamesByUserIds]//Select/depart_name[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDictMapper.java[language=FILE]//SysDictMapper/queryTableDictWithFilter/code/@Param[language=JAVA]//code[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=String,language=XML,resultType=org.jeecg.common.system.vo.DictModel,queryId=queryTableDictWithFilter]//Select/${code}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDictMapper.java[language=FILE]//SysDictMapper/queryTableDictTextByKey/text/@Param[language=JAVA]//text[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=String,language=XML,resultType=String,queryId=queryTableDictTextByKey]//Select/${text}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDictMapper.java[language=FILE]//SysDictMapper/queryTableDictTextByKey/key/@Param[language=JAVA]//key[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=String,language=XML,resultType=String,queryId=queryTableDictTextByKey]//Select/Where/=/#{key}[language=SQL]"
