JAVA,XML
use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list,def://app/src/main/res/layout/fragment_related_streams.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list
use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list,def://app/src/main/res/layout/fragment_comments.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list
use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list,def://app/src/main/res/layout/fragment_bookmarks.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list
use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list,def://app/src/main/res/layout/fragment_subscription.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list
use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list,def://app/src/main/res/layout/fragment_search.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list
use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list,def://app/src/main/res/layout/fragment_kiosk.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list
use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list,def://app/src/main/res/layout/fragment_feed.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list
use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list,def://app/src/main/res/layout/select_channel_fragment.xml//LinearLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list
use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list,def://app/src/main/res/layout/fragment_channel.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_stream_playlist_grid_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_channel_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_stream_grid_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/play_queue_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView
