def,use
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/organization/create.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsOrganizationController.java[language=FILE]//UpmsOrganizationController/create/return[language=JAVA]//\\/manage\\/organization\\/create.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/permission/update.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsPermissionController.java[language=FILE]//UpmsPermissionController/update/return[language=JAVA]//\\/manage\\/permission\\/update.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/ManageController.java[language=FILE]//ManageController/index/modelMap.put[language=JAVA]//upmsPermissions[language=ANY],use://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/index.jsp[language=FILE]//html/body/section/aside/ul/c:foreach/items[language=HTML]//${upmsPermissions}[language=ANY]
def://zheng-cms/zheng-cms-web/src/main/webapp/resources/index.html[language=FILE],def://zheng-cms/zheng-cms-web/src/main/java/com/zheng/cms/web/controller/IndexController.java[language=FILE]//IndexController/index/return/thymeleaf[language=JAVA]//\\/index[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/setting/create.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsSettingController.java[language=FILE]//CmsSettingController/create/return[language=JAVA]//\\/manage\\/setting\\/create.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/ManageController.java[language=FILE]//ManageController/index/modelMap.put[language=JAVA]//upmsPermissions[language=ANY],use://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/index.jsp[language=FILE]//html/body/section/aside/ul/c:foreach/c:if/li/ul/c:foreach/items[language=HTML]//${upmsPermissions}[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/setting/index.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsSettingController.java[language=FILE]//CmsSettingController/index/return[language=JAVA]//\\/manage\\/setting\\/index.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/user/update.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsUserController.java[language=FILE]//UpmsUserController/update/return[language=JAVA]//\\/manage\\/user\\/update.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/permission/create.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsPermissionController.java[language=FILE]//UpmsPermissionController/create/return[language=JAVA]//\\/manage\\/permission\\/create.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/session/index.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsSessionController.java[language=FILE]//UpmsSessionController/index/return[language=JAVA]//\\/manage\\/session\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/tag/create.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsTagController.java[language=FILE]//CmsTagController/create/return[language=JAVA]//\\/manage\\/tag\\/create.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/user/role.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsUserController.java[language=FILE]//UpmsUserController/role/return[language=JAVA]//\\/manage\\/user\\/role.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/sso/login.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/SSOController.java[language=FILE]//SSOController/login/return[language=JAVA]//\\/sso\\/login.jsp[language=ANY]
