def,use
def://sagan-site/src/main/resources/templates/guides/gs/guide.html[language=FILE],def://sagan-site/src/main/java/sagan/site/guides/GettingStartedGuideController.java[language=FILE]//GettingStartedGuideController/viewGuide/return[language=JAVA]//guides\\/gs\\/guide[language=ANY]
def://sagan-site/src/main/resources/templates/blog/show.html[language=FILE],def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/showPost/return[language=JAVA]//blog\\/show[language=ANY]
def://sagan-site/src/main/java/sagan/site/team/support/TeamController.java[language=FILE]//TeamController/showProfile/model.addAttribute[language=JAVA]//posts[language=ANY],use://sagan-site/src/main/resources/templates/team/show.html[language=FILE]//html/body/div/div/div/div/div/div/div/div/article/data-th-each[language=HTML]//${posts}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/team/index.html[language=FILE],def://sagan-site/src/main/java/sagan/site/team/support/TeamAdminController.java[language=FILE]//TeamAdminController/getTeamAdminPage/return[language=JAVA]//admin\\/team\\/index[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java[language=FILE]//BlogController/showPost/model.addAttribute[language=JAVA]//categories[language=ANY],use://sagan-site/src/main/resources/templates/blog/show.html[language=FILE]//html/body/div/main/div/div/ul/li/data-th-each[language=HTML]//${categories}[language=ANY]
def://sagan-site/src/main/java/sagan/site/guides/GettingStartedGuideController.java[language=FILE]//GettingStartedGuideController/viewGuide/model.addAttribute[language=JAVA]//projects[language=ANY],use://sagan-site/src/main/resources/templates/guides/gs/guide.html[language=FILE]//html/body/div/div/main/div/aside/div/div/ul/li/data-th-each[language=HTML]//${projects}[language=ANY]
def://sagan-site/src/main/java/sagan/site/learn/LearnController.java[language=FILE]//LearnController/learn/model.addAttribute[language=JAVA]//posts[language=ANY],use://sagan-site/src/main/resources/templates/learn/index.html[language=FILE]//html/body/div/div/div/section/section/div/data-th-each[language=HTML]//${posts}[language=ANY]
def://sagan-site/src/main/java/sagan/site/events/EventsController.java[language=FILE]//EventsController/events/model.addAttribute[language=JAVA]//events[language=ANY],use://sagan-site/src/main/resources/templates/events/list.html[language=FILE]//html/body/div/div/div/div/div/a/data-th-each[language=HTML]//${events}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/newPost/model.addAttribute[language=JAVA]//categories[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/new.html[language=FILE]//html/body/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${categories}[language=ANY]
def://sagan-site/src/main/resources/templates/guides/index.html[language=FILE],def://sagan-site/src/main/java/sagan/site/guides/GuideIndexController.java[language=FILE]//GuideIndexController/viewIndex/return[language=JAVA]//guides\\/index[language=ANY]
def://sagan-site/src/main/resources/templates/projects/index.html[language=FILE],def://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java[language=FILE]//ProjectsController/listProjects/return[language=JAVA]//projects\\/index[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/updatePost/model.addAttribute[language=JAVA]//formats[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/edit.html[language=FILE]//html/body/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${formats}[language=ANY]
def://sagan-site/src/main/resources/templates/guides/gs/guide.html[language=FILE],def://sagan-site/src/main/java/sagan/site/guides/TopicalController.java[language=FILE]//TopicalController/viewTutorial/return[language=JAVA]//guides\\/gs\\/guide[language=ANY]
def://sagan-site/src/main/java/sagan/site/guides/GettingStartedGuideController.java[language=FILE]//GettingStartedGuideController/viewGuide/model.addAttribute[language=JAVA]//description[language=ANY],use://sagan-site/src/main/resources/templates/guides/gs/guide.html[language=FILE]//html/head/meta/data-th-content[language=HTML]//${description}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/dashboard/model.addAttribute[language=JAVA]//drafts[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/index.html[language=FILE]//html/body/div/div/table/tbody/tr/data-th-each[language=HTML]//${drafts}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java[language=FILE]//BlogController/renderListOfPosts/model.addAttribute[language=JAVA]//newestPost[language=ANY],use://sagan-site/src/main/resources/templates/blog/index.html[language=FILE]//html/body/div/main/div/div/data-th-if[language=HTML]//${newestPost}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/editPost/model.addAttribute[language=JAVA]//path[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/edit.html[language=FILE]//html/body/form/div/div/div/a/data-th-href[language=HTML]//${path}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editInfo/model.addAttribute[language=JAVA]//groups[language=ANY],use://sagan-site/src/main/resources/templates/admin/project/edit-info.html[language=FILE]//html/body/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${groups}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/show.html[language=FILE],def://sagan-site/src/main/java/sagan/site/admin/AdminController.java[language=FILE]//AdminController/adminPage/return[language=JAVA]//admin\\/show[language=ANY]
def://sagan-site/src/main/java/sagan/site/events/EventsController.java[language=FILE]//EventsController/community/model.addAttribute[language=JAVA]//events[language=ANY],use://sagan-site/src/main/resources/templates/events/community.html[language=FILE]//html/body/div/div/div/div/a/data-th-each[language=HTML]//${events}[language=ANY]
def://sagan-site/src/main/java/sagan/site/team/support/TeamAdminController.java[language=FILE]//TeamAdminController/getTeamAdminPage/model.addAttribute[language=JAVA]//hiddenMembers[language=ANY],use://sagan-site/src/main/resources/templates/admin/team/index.html[language=FILE]//html/body/div/div/a/data-th-each[language=HTML]//${hiddenMembers}[language=ANY]
