use,def
def://src/main/java/com/jeecg/demo/controller/JformOrderMain2Controller.java[]//goAdd/return/ModelAndView[]//com\/jeecg\/demo\/jformOrderMain2\/main\/addOrUpdate[],def://src/main/webapp/webpage/com/jeecg/demo/jformOrderMain2/main/addOrUpdate.jsp[]
use://src/main/webapp/webpage/com/jeecg/demo/jformOrderMain2/jformOrderTicket2/add.jsp[]//html/body/t:formvalid/input/value[]//${mainId}[],def://src/main/java/com/jeecg/demo/controller/JformOrderTicket2Controller.java[]//goAdd/req.setAttribute[]//mainId[]
def://src/main/java/org/jeecgframework/web/system/controller/core/SSOController.java[]//toLogin/return[]//login\/login[],def://src/main/webapp/webpage/login/login.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgFormDemoController.java[]//selectSort/return/ModelAndView[]//com\/jeecg\/demo\/form_selectSort[],def://src/main/webapp/webpage/com/jeecg/demo/form_selectSort.jsp[]
def://src/main/java/org/jeecgframework/web/cgreport/controller/core/CgreportConfigHeadController.java[]//goUpdate/return/ModelAndView[]//jeecg\/cgreport\/core\/cgreportConfigHead-update[],def://src/main/webapp/webpage/jeecg/cgreport/core/cgreportConfigHead-update.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/LogController.java[]//log/return/ModelAndView[]//system\/log\/logList[],def://src/main/webapp/webpage/system/log/logList.jsp[]
use://src/main/webapp/webpage/system/operation/operation.jsp[]//html/body/t:formvalid/fieldset/input/value[]//${functionId}[],def://src/main/java/org/jeecgframework/web/system/controller/core/FunctionController.java[]//addorupdateop/req.setAttribute[]//functionId[]
use://src/main/webapp/webpage/system/tsinterface/ruleDataList.jsp[]//html/body/t:datagrid/actionurl[]//${interfaceId}[],def://src/main/java/org/jeecgframework/web/system/controller/core/TSInterfaceController.java[]//operationData/request.setAttribute[]//interfaceId[]
def://src/main/java/com/jeecg/demo/controller/JeecgFormDemoController.java[]//commonUploadDemo/return/ModelAndView[]//system\/commonupload\/commonUploadFile[],def://src/main/webapp/webpage/system/commonupload/commonUploadFile.jsp[]
use://src/main/webapp/webpage/jeecg/cgform/cgformftl/cgformFtlList.jsp[]//html/body/div/div/t:datagrid/t:dgtoolbar/url[]//${formid}[],def://src/main/java/org/jeecgframework/web/cgform/controller/cgformftl/CgformFtlController.java[]//cgformFtl/request.setAttribute[]//formid[]
def://src/main/java/com/jeecg/demo/controller/JfromOrderController.java[]//goUpdate/return/ModelAndView[]//com\/jeecg\/demo\/jfromOrder-update[],def://src/main/webapp/webpage/com/jeecg/demo/jfromOrder-update.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/DepartController.java[]//userList/return/ModelAndView[]//system\/depart\/departUserList[],def://src/main/webapp/webpage/system/depart/departUserList.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/FunctionController.java[]//function/return/ModelAndView[]//system\/function\/functionList[],def://src/main/webapp/webpage/system/function/functionList.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgFormDemoController.java[]//formValidDemo/return/ModelAndView[]//com\/jeecg\/demo\/form_valid[],def://src/main/webapp/webpage/com/jeecg/demo/form_valid.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/TSInterfaceController.java[]//addorupdaterule/return/ModelAndView[]//system\/tsinterface\/ruleData[],def://src/main/webapp/webpage/system/tsinterface/ruleData.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/IconController.java[]//icon/return/ModelAndView[]//system\/icon\/iconList[],def://src/main/webapp/webpage/system/icon/iconList.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/FunctionController.java[]//operationData/return/ModelAndView[]//system\/dataRule\/ruleDataList[],def://src/main/webapp/webpage/system/dataRule/ruleDataList.jsp[]
def://src/main/java/org/jeecgframework/web/system/sms/controller/TSSmsTemplateController.java[]//goAdd/return/ModelAndView[]//system\/sms\/tSSmsTemplate-add[],def://src/main/webapp/webpage/system/sms/tSSmsTemplate-add.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgFormDemoController.java[]//uitag/return/ModelAndView[]//com\/jeecg\/demo\/form_uitag[],def://src/main/webapp/webpage/com/jeecg/demo/form_uitag.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/DepartAuthGroupController.java[]//addUserSelect/return/ModelAndView[]//system\/authGroup\/addUserSelect[],def://src/main/webapp/webpage/system/authGroup/addUserSelect.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/OrganzationController.java[]//toAddCompany/return/ModelAndView[]//system\/organzation\/company-add[],def://src/main/webapp/webpage/system/organzation/company-add.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//log/return/ModelAndView[]//com\/jeecg\/demo\/logList[],def://src/main/webapp/webpage/com/jeecg/demo/logList.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/DepartAuthGroupController.java[]//updateDepartRoleAuth/return/ModelAndView[]//system\/authGroup\/updateDepartRoleAuth[],def://src/main/webapp/webpage/system/authGroup/updateDepartRoleAuth.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//goCheck/return/ModelAndView[]//com\/jeecg\/demo\/jeecgDemo-check[],def://src/main/webapp/webpage/com/jeecg/demo/jeecgDemo-check.jsp[]
